project,{evorand_time_budget},{project},{bug_id}{b_f},0{test_id},split{_minute},method
Codec,1200,Codec,17b,00,split1,seqC
Codec,1200,Codec,17b,01,split1,seqC
Codec,1200,Codec,17b,02,split1,seqC
Codec,1200,Codec,17b,03,split1,seqC
Codec,1200,Codec,17b,04,split1,seqC
Codec,1200,Codec,18b,00,split2,seqC
Codec,1200,Codec,18b,02,split1,seqC
Codec,1200,Codec,18b,04,split1,seqC
Compress,1200,Compress,4b,00,split1,seqC
Compress,1200,Compress,4b,00,split2,seqC
Compress,1200,Compress,4b,00,split4,seqC
Compress,1200,Compress,4b,01,split1,seqC
Compress,1200,Compress,4b,01,split2,seqC
Compress,1200,Compress,4b,01,split3,seqC
Compress,1200,Compress,4b,01,split4,seqC
Compress,1200,Compress,4b,02,split1,seqC
Compress,1200,Compress,4b,02,split2,seqC
Compress,1200,Compress,4b,02,split3,seqC
Compress,1200,Compress,4b,03,split1,seqC
Compress,1200,Compress,4b,03,split2,seqC
Compress,1200,Compress,4b,03,split3,seqC
Compress,1200,Compress,4b,03,split4,seqC
Compress,1200,Compress,4b,04,split1,seqC
Compress,1200,Compress,4b,04,split2,seqC
Compress,1200,Compress,4b,04,split3,seqC
Compress,1200,Compress,4b,04,split4,seqC
Compress,1200,Compress,14b,00,split1,seqC
Compress,1200,Compress,14b,00,split2,seqC
Compress,1200,Compress,14b,01,split1,seqC
Compress,1200,Compress,14b,01,split2,seqC
Compress,1200,Compress,14b,01,split3,seqC
Compress,1200,Compress,14b,02,split1,seqC
Compress,1200,Compress,14b,02,split2,seqC
Compress,1200,Compress,14b,02,split3,seqC
Compress,1200,Compress,14b,03,split1,seqC
Compress,1200,Compress,14b,03,split2,seqC
Compress,1200,Compress,14b,03,split3,seqC
Compress,1200,Compress,14b,04,split1,seqC
Compress,1200,Compress,14b,04,split2,seqC
Compress,1200,Compress,38b,01,split1,seqP
Compress,1200,Compress,38b,01,split4,seqP
Compress,1200,Compress,38b,03,split4,seqP
Compress,1200,Compress,45b,00,split1,seqP
Compress,1200,Compress,45b,01,split1,seqP
Compress,1200,Compress,45b,02,split1,seqC
Compress,1200,Compress,45b,02,split2,seqC
Compress,1200,Compress,45b,03,split2,seqP
Compress,1200,Compress,45b,04,split1,seqP
